Temperature,EC,PH,Salinity,DO
19.5,0.58,7.5,0.37,7.3
18.8,0.56,7.7,0.36,6.8
19.1,1.25,7.9,0.8,7.8
17.3,0.68,7.7,0.44,7
22.4,0.58,7.5,0.37,7
19.5,0.51,8,0.32,8
19.1,1.16,7.1,0.74,7.8
21.9,0.66,7.8,0.42,6.5
20.7,0.51,7.9,0.33,6.6
23.6,0.78,8,0.5,7.4
22.2,0.6,8,0.38,7.5
22.4,0.7,7.8,0.45,6.5
23.7,0.59,8,0.38,7.6
24.5,1.39,7.9,0.89,6.6
20,0.55,7.1,0.35,6.9
19.9,1.18,7.4,0.76,7.7
21.1,0.6,7.1,0.38,7.7
20,0.59,7,0.37,7.2
20.3,0.69,7,0.44,7.3
20.1,0.67,7,0.43,7.5
20.3,0.63,7.8,0.4,7.6
23.9,0.56,7.5,0.36,7.2
23.1,0.64,7.7,0.41,6.6
22.6,0.67,7.8,0.43,7.2
23.1,0.52,7.7,0.33,8
22.4,1.37,8,0.88,6.8
23.4,0.54,7.6,0.35,7.2
24.9,0.77,7.6,0.49,7.3
24.8,1.4,7.6,0.9,7
20.9,0.54,7.9,0.35,7.5
19.5,1.39,7.3,0.89,7.8
19.3,0.89,7.5,0.57,7.4
19.3,0.6,7.4,0.38,6.5
18.8,0.56,7.4,0.36,7.2
18.8,0.6,7.4,0.39,6.9
18.1,0.5,7.5,0.32,7.6
19.2,0.84,7.4,0.53,7.2
17.6,0.55,7.8,0.35,7.8
19,0.61,7.3,0.39,7.5
18.4,0.52,7.7,0.34,7.2
21,0.61,8,0.39,6.7
20.6,0.61,7.7,0.39,7.4
14.2,1.38,7.7,0.88,7.6
24.6,0.57,7.2,0.36,7.2
23.6,0.8,7.6,0.51,6.5
25,0.84,7.7,0.54,7.3
21.9,0.58,7.7,0.37,7.8
22.2,0.65,8,0.41,7.5
21.5,1.1,8,0.7,7.3
24.3,0.62,7.6,0.4,7.3
24.3,0.58,7.9,0.37,7.2
23.9,0.62,7.6,0.4,6.8
23.8,0.52,7.9,0.33,7.9
22,0.52,8,0.33,7.6
22.2,0.51,7.6,0.33,7.1
21.4,0.86,7.8,0.55,7.6
19.1,0.65,7.9,0.41,8
19,0.54,7.7,0.34,6.5
15.6,0.6,8,0.39,7.7
19.4,0.67,7.9,0.43,7.8
13.6,1.36,8,0.87,7.6
21.5,0.6,7.5,0.38,7.8
21.5,0.65,8,0.42,7.6
21.7,1.07,8,0.68,7.8
22.1,1.1,8,0.7,7.4
21.9,0.53,7.8,0.34,7.1
23.8,0.68,7.9,0.44,6.5
22.2,0.74,8,0.47,8
19.1,0.55,7.2,0.35,6.7
18.8,1.2,7.5,0.77,8
20.5,0.78,7.7,0.5,6.8
19.7,1.1,7.8,0.7,7
20.2,0.83,7.7,0.53,7.1
18.6,0.57,7.6,0.37,7.5
19,0.66,7.7,0.42,7
23,1.12,7.9,0.72,6.7
18.9,0.53,7.6,0.34,8
22.6,1.3,7.8,0.83,7.3
19.6,0.71,7.5,0.45,7.1
22.9,0.5,7.8,0.32,7.7
24.7,0.54,7.6,0.35,6.7
24,1.02,7.1,0.65,6.9
23.3,0.67,7.8,0.43,6.6
23.1,0.64,7.5,0.41,7.6
22,0.59,7.2,0.38,8
23.5,0.5,7.8,0.32,7.4
22.6,0.57,7.7,0.37,6.7
21.8,0.54,7.5,0.35,7.4
22.6,0.66,7.4,0.42,7.2
22.1,0.53,7.2,0.34,6.5
21.5,0.56,7.9,0.36,6.5
22.6,0.56,7.6,0.36,6.5
19.4,0.86,7.5,0.55,7.7
23.1,0.54,7.9,0.34,7.9
23.1,0.55,7.5,0.35,7.6
24.2,0.6,7.8,0.39,7.3
24.9,0.61,8,0.39,7.2
23,0.58,8,0.37,6.9
24.9,0.56,8,0.36,7.1
24.3,0.8,8,0.51,7.4
22.5,0.65,7.9,0.41,7.2
24.9,0.54,7.9,0.34,6.7
23.8,0.56,8,0.36,6.8
24,1.05,7.8,0.67,8
23.6,1.08,7.3,0.69,6.8
24.2,1.14,7.6,0.73,7.8
24.7,0.6,7.5,0.38,6.7
24.4,0.51,7.5,0.33,7.2
24.7,0.82,7.9,0.52,7.9
22.1,0.54,7.5,0.35,6.8
20.4,0.57,8,0.36,7.5
20.6,0.9,7.7,0.57,7.2
21.4,0.76,7.6,0.49,7.1
23.9,1.23,7.4,0.79,6.7
21.5,0.55,7.7,0.35,7.5
22.6,0.58,7.8,0.37,6.9
22.5,0.69,7.8,0.44,7.1
23.8,0.52,8,0.33,7.3
23.9,1.03,8,0.66,7
23.6,0.69,8,0.44,7.9
23.4,0.53,8,0.34,7.6
23.1,0.81,8,0.52,7.2
23.1,0.78,8,0.5,7.5
22.5,0.84,8,0.54,7.5
23.7,0.55,7.7,0.35,7.3
19.7,1.16,7.6,0.74,7.4
19.4,0.53,7.5,0.34,6.6
19.7,0.75,7.9,0.48,8
18.6,0.55,7.6,0.35,7.8
20.2,0.65,7.8,0.42,7.9
20.1,0.52,7.5,0.34,7.7
24.5,0.96,7.8,0.61,6.9
21.4,0.52,7.3,0.33,7.7
19.8,0.7,7.8,0.45,7
20.4,0.62,7.7,0.4,7.5
20.1,0.55,7.9,0.35,6.9
22.6,0.57,7.4,0.37,7.5
25,0.99,7.9,0.63,6.7
17.8,0.51,7.2,0.33,7.6
18.8,0.51,7.5,0.33,7
21.2,0.62,7.6,0.4,7.3
21.2,0.62,7.9,0.39,6.6
21.8,0.64,7.8,0.41,6.8
23.9,0.61,7.8,0.39,6.9
18.9,0.56,8,0.36,6.6
16,1.36,7.6,0.87,7.4
17,1.22,7.7,0.78,6.6
16.7,0.62,7.5,0.4,6.8
17,1.09,7.5,0.7,7
16,1.07,7.5,0.68,6.5
16.7,1.39,7.3,0.89,7.8
17.1,1.38,7.6,0.88,6.7
19.8,1.04,7.9,0.67,6.6
15.1,0.53,7.2,0.34,6.9
18,0.66,7.9,0.42,7.7
16.7,0.84,7.3,0.54,7.7
23.8,0.57,7.4,0.36,7.2
21.7,0.57,7.2,0.36,7.6
20.2,1.26,7.8,0.81,8
22.4,0.63,7.8,0.4,7.1
19.8,0.93,8,0.59,7.3
19.2,0.56,7.9,0.36,6.8
21.2,0.83,8,0.53,7.8
19.8,0.53,7.9,0.34,7.2
20.7,1,8,0.64,7.7
17.1,0.61,8,0.39,6.8
20.4,0.71,7.8,0.46,7.7
14.5,0.61,7.3,0.39,6.8
19.3,0.6,7.5,0.38,6.6
22.1,0.83,8,0.53,8
16.4,0.74,7.8,0.47,7.5
23.6,0.52,7.4,0.33,6.8
22.7,0.62,7.4,0.4,7.2
23.2,0.55,7.8,0.35,7.9
20.7,0.65,7.6,0.41,6.9
19.1,0.57,7.8,0.37,7.1
18.4,0.64,8,0.41,7.9
23.5,0.93,7.9,0.6,6.9
21.9,0.98,7.9,0.63,6.8
21.5,0.83,7.9,0.53,7.6
21,1.03,7.6,0.66,6.8
24.6,0.81,7.7,0.52,6.5
23.1,1.05,7.5,0.67,6.7
20.6,0.53,7.8,0.34,7.5
22.6,0.83,7.8,0.53,7.3
22.8,0.58,7.9,0.37,7.7
21.8,1.23,8,0.79,7.5
23.4,0.54,7.4,0.34,7.9
20.7,0.71,7.8,0.45,8
20.2,0.73,7.6,0.47,6.8
17.6,0.79,7.6,0.51,7.7
24.3,0.67,7.9,0.43,7.2
23.6,0.95,7.7,0.61,6.9
25,0.58,8,0.37,6.9
24.6,1.05,7.3,0.67,6.9
24.4,1.37,7.5,0.88,7.3
24.7,1.23,7.4,0.79,7.3
22.3,0.53,7.3,0.34,6.9
21,0.52,7.8,0.33,6.8
22.9,0.52,7.8,0.34,6.9
24.5,0.69,7.9,0.44,8
24.9,0.64,8,0.41,7.9
24.1,0.71,8,0.45,7.5
24.9,0.58,7.9,0.37,6.8
22.5,0.51,7.7,0.33,7.3
14.7,0.68,7,0.43,6.9
19.8,1.05,7.7,0.67,7.1
24,0.57,7.5,0.36,7.3
21.4,0.61,7.9,0.39,8
17,0.57,7.6,0.36,7.6
18.1,0.66,7.7,0.42,7.5
20.4,0.66,7.8,0.42,7.8
18.3,0.55,7.7,0.35,7.1
18.8,0.53,7.7,0.34,7.8
22,0.91,7.2,0.58,7.2
23.7,0.55,7.6,0.35,7.1
19.9,0.52,7.7,0.33,7.8
19.1,0.96,7.6,0.61,7.8
23.5,1.28,7.9,0.82,6.5
21.9,0.65,7.9,0.41,7.3
18.7,0.6,7.4,0.38,7.6
20.4,0.55,7.5,0.35,7.7
21.6,0.58,7.8,0.37,7.1
19.1,0.79,7.4,0.5,6.6
20.5,0.71,7.9,0.46,8
15.8,0.64,7.8,0.41,7
20.9,0.7,7.7,0.45,6.5
18.7,0.64,7.9,0.41,7.8
15.7,0.68,7.8,0.44,6.5
22.7,0.52,7.6,0.33,7
20.4,0.51,8,0.32,7.8
20.2,0.78,7.9,0.5,7.9
17.4,1.1,8,0.7,6.6
16.3,1.03,7.3,0.66,7.9
16,0.96,7.6,0.62,7.9
15.5,0.78,7.6,0.5,6.8
15.3,0.58,7.3,0.37,7.9
16.6,0.73,7.6,0.47,7.5
15.7,0.56,7.3,0.36,6.9
15.7,0.66,7.2,0.42,7.8
14.2,0.57,7.8,0.36,6.6
15.7,1.39,7.4,0.89,7.3
19.6,0.57,7.2,0.36,6.5
20,0.54,7.4,0.34,7.6
20.6,0.64,8,0.41,6.8
21.9,1.12,7.2,0.72,7.5
21.1,0.89,8,0.57,7.2
19.3,0.71,7.8,0.45,7.7
20.1,0.65,7.8,0.42,7.9
19.7,0.94,8,0.6,6.6
18.9,1.17,7.8,0.75,7.1
22.7,0.7,7.9,0.45,6.7
21.5,0.55,7.6,0.35,7.4
19.8,0.53,7.9,0.34,7.3
21.8,0.69,7.9,0.44,6.7
23.3,0.6,7.9,0.39,7.8
20.3,0.74,7.9,0.48,7.3
18.9,1.32,7.5,0.84,7.7
19.2,0.86,7.7,0.55,6.8
19.4,1.04,7.5,0.67,6.5
18.9,0.55,7.5,0.35,7.7
18.7,0.5,7.4,0.32,7.4
19.1,0.71,7.7,0.46,7.5
18.7,0.69,7.2,0.44,7.2
19.4,0.59,7.3,0.38,7.9
19.8,0.7,7.7,0.45,7.2
19.3,0.9,7.5,0.58,7.4
19.4,0.55,7.9,0.35,7.9
21.6,0.57,7.7,0.36,8
19.7,0.68,7.4,0.43,7.4
20.1,0.62,7.8,0.39,7.2
21.3,0.62,7.7,0.39,6.9
21.5,0.6,7.5,0.39,6.8
21.7,0.76,7.5,0.49,7.1
22.3,0.59,7.7,0.38,6.6
23.8,0.51,7.9,0.33,7.4
23.8,0.54,7.5,0.35,7.1
24.6,0.8,7.6,0.51,7.5
22.7,0.7,7.8,0.45,7.5
23.5,0.59,7.7,0.37,7.7
24.2,1.17,7.1,0.75,6.7
21.5,1.15,7.5,0.74,6.8
22.9,0.65,7.7,0.42,6.8
22.6,0.65,7.7,0.42,7.3
22.1,1.08,7.6,0.69,7.5
24.6,0.98,7.6,0.63,6.9
21.4,0.53,7.8,0.34,7.5
24.4,0.54,7.7,0.35,7.5
23.2,0.57,7.8,0.36,6.6
22.8,0.56,7.8,0.36,8
24.8,0.64,7.6,0.41,7.4
22.4,0.57,7.6,0.36,8
23.1,1.03,7.2,0.66,6.8
23.4,0.9,7.6,0.58,7.1
22.3,0.62,7.5,0.4,6.8
23,0.77,7.9,0.49,7.2
23.5,0.64,7.7,0.41,6.8
24.5,1.13,7.3,0.72,7.5
21.1,0.76,7.8,0.49,7.4
24.8,0.56,7.3,0.36,7
22.8,0.54,7.6,0.35,7.4
23.4,0.61,7.8,0.39,7.4
24.5,0.59,7.8,0.38,6.6
24.9,0.51,8,0.32,7.8
24,0.5,7.8,0.32,7.9
24.9,0.5,7.9,0.32,8
24,0.54,7.8,0.34,8
23.7,0.53,7.9,0.34,7.9
23.8,0.67,7.2,0.43,8
24.6,0.52,8,0.33,6.8
24.8,1.07,7.2,0.68,6.9
24.3,0.56,7.6,0.36,7.6
18.4,0.53,7.4,0.34,7.4
22.7,0.85,8,0.54,8
23.4,0.52,7.6,0.33,7.2
22.9,0.73,7.9,0.47,7.1
24.2,0.71,7.8,0.45,7.5
24.9,0.51,7.4,0.33,7.6
20.7,0.51,7.9,0.33,7.7
20.8,0.52,8,0.33,8
24.3,0.66,7.9,0.42,6.8
21.4,0.63,7,0.4,7.1
19.7,0.67,7,0.43,7.2
18.3,0.6,7.9,0.39,7.8
18.2,0.65,7.6,0.41,7.4
21.3,0.68,7.9,0.44,6.5
19.1,1.09,8,0.7,6.7
24.3,0.56,7.7,0.36,7.5
22.4,0.52,7.5,0.33,7.7
17.9,0.91,7.3,0.58,6.7
16.9,0.69,7.4,0.44,6.8
16.5,0.51,7.8,0.33,6.9
12.9,0.57,7.1,0.36,7.2
15.8,0.71,7.8,0.45,7.3
13,0.79,7.2,0.5,6.5
13.2,0.88,7.9,0.56,7.1
13.9,0.51,7.7,0.33,7.8
17.5,0.61,7.4,0.39,7.2
17.2,0.78,8,0.5,7.4
24.2,0.62,7.5,0.4,8
21,0.65,7.6,0.41,6.5
20.1,0.62,7.7,0.39,7.3
18.6,0.55,7.9,0.35,7.5
21.7,0.77,7.5,0.49,7.9
16.4,0.76,8,0.49,7.7
18.9,0.66,7.8,0.42,7.7
21,1.06,7.8,0.68,7.3
24.1,1.3,7.8,0.83,7.8
21.5,0.96,7.5,0.61,7.1
20.1,0.55,7.5,0.35,6.7
20.5,0.58,7.2,0.37,7.6
21.5,1.08,7.4,0.69,6.7
22.3,0.56,7.7,0.36,7.4
22.9,0.55,7.9,0.35,7.1
23.3,0.57,7.9,0.36,6.6
23.6,0.7,7.3,0.44,7.9
23.7,0.76,7.4,0.48,7.8
21,0.56,7.8,0.36,7.6
22.6,0.7,7.8,0.45,6.7
18.5,0.65,8,0.41,7
23.8,1.17,8,0.75,7.6
19.9,0.58,8,0.37,7.8
20,0.94,7.8,0.6,7.3
23.9,0.65,8,0.42,7.6
18.7,0.51,7.4,0.33,7.9
21.2,1.08,7.9,0.69,6.9
19.6,0.62,7.1,0.4,7.4
19.3,0.52,7.3,0.33,7.1
20.2,1.18,7.3,0.76,6.8
19.2,0.76,7.3,0.49,7.6
21.8,0.83,7.9,0.53,7.1
23.5,0.55,7.6,0.35,8
23.4,0.88,7.8,0.56,7.9
23.4,0.93,7.8,0.6,7.4
23.2,0.64,8,0.41,7.8
23.8,0.57,7.4,0.36,7.2
23,0.7,7.5,0.45,6.8
23.1,0.66,7.2,0.42,6.5
22.1,0.86,7.3,0.55,6.9
22.1,0.58,7.4,0.37,6.6
25,0.65,7.3,0.42,7.2
20.6,0.71,7.8,0.45,7.7
20.3,0.57,7.2,0.37,7.4
19,0.53,7.5,0.34,8
18.7,0.55,7.2,0.35,7.7
19.6,0.94,7.5,0.6,7.7
20.4,0.52,7.5,0.33,7.4
20.8,0.56,7.6,0.36,7.8
22.9,0.58,7.8,0.37,7
21.8,1.13,7.5,0.72,7.6
22,1.32,7.4,0.84,7.3
21.4,0.67,7.3,0.43,7.4
21.4,0.64,7.5,0.41,7.6
21.6,0.79,7.4,0.51,7.9
20.2,0.57,7.5,0.36,7.9
20.4,0.94,7.7,0.6,6.8
22.6,0.62,7.8,0.4,6.7
24.3,0.54,8,0.34,7.6
25,0.83,7.4,0.53,6.9
24.5,0.52,8,0.34,7.1
24.5,0.52,7.8,0.33,7.9
23.5,0.52,8,0.34,7.2
19,1,7.5,0.64,8
19,0.58,7.2,0.37,7.6
18.7,0.73,7.6,0.47,7.7
19.2,0.57,7.4,0.37,6.9
22.8,0.51,7.6,0.33,6.6
24.8,0.65,7.7,0.41,6.6
19.2,0.59,7.9,0.38,7.9
23.9,0.65,8,0.42,7.4
23.6,0.84,8,0.54,7.3
19,1.32,7.6,0.84,7.7
20.6,1,7.5,0.64,7.4
22.4,1.01,7.6,0.65,6.5
21.2,0.77,7.5,0.49,7
21,0.96,7.6,0.61,8
21.1,0.7,7.6,0.45,7
23.5,0.57,7.2,0.37,7.6
21.3,0.72,7.8,0.46,7.9
19.9,0.51,7.5,0.33,7.3
21.8,0.67,7.7,0.43,7.1
22.6,0.57,7.7,0.36,7.6
24.4,0.51,7.8,0.33,6.6
24.5,0.54,7.9,0.34,8
18.1,1.19,7.4,0.76,7.4
18.5,0.75,7.3,0.48,6.7
18,0.74,7.5,0.48,7.6
17.2,0.51,7.5,0.33,7.9
17.3,0.72,7.6,0.46,7.9
18.3,1.26,7.5,0.81,6.9
15.6,0.88,7.7,0.56,7.9
20.5,0.58,7.6,0.37,7.4
20.9,0.71,7.8,0.46,7.2
21.9,0.9,7.8,0.58,6.5
21.8,0.8,7.9,0.51,7.8
20.7,0.99,7.9,0.63,6.7
22.8,0.58,8,0.37,7.8
23.3,0.6,8,0.38,6.8
23.1,0.58,7.9,0.37,7.2
20.2,0.79,7.1,0.5,7.5
20.6,0.68,7.4,0.43,6.9
20.3,0.54,7.4,0.35,7.5
20.1,0.51,7.4,0.33,8
19.4,0.6,7.4,0.38,7.4
18.8,1.03,7.7,0.66,7.5
23.7,0.7,7.4,0.45,6.5
20.7,0.7,7.6,0.45,6.8
24.4,0.67,7.6,0.43,7.3
23.9,0.7,7.8,0.45,6.5
23.2,0.77,7.9,0.49,7.1
24.9,0.63,7.9,0.4,6.6
25,0.59,8,0.38,7.3
25,1.09,7.7,0.7,7.3
24.7,0.96,7.7,0.61,7.4
24,0.53,7.7,0.34,7.6
22.5,0.95,7.6,0.61,6.7
23.5,0.6,7.5,0.39,6.5
24.2,0.69,7.8,0.44,7
23.8,0.52,7.7,0.34,6.7
23.8,0.71,7.9,0.46,6.6
23.9,0.52,7.8,0.33,6.8
24.9,0.58,7.8,0.37,7.1
24.5,0.68,7.8,0.44,7
23.6,0.54,7.5,0.35,7.4
24.8,0.81,7.4,0.52,6.7
24.3,0.72,7.8,0.46,7.3
24.5,0.77,7.9,0.49,7.1
24.5,0.52,7.9,0.33,7.8
24.6,0.82,7.3,0.53,6.5
25,0.66,7.4,0.42,7.3
24.4,0.59,7.8,0.38,7
24.5,0.91,7.5,0.58,6.6
23.5,1.15,7.1,0.74,6.8
23.9,1.2,7.4,0.77,7.7
23.4,0.88,7.5,0.56,7.9
23.1,0.87,7.3,0.56,7
21.3,0.81,7.8,0.52,7.5
24.5,0.55,8,0.35,6.9
24.8,0.82,7.8,0.52,7.7
23.5,0.54,8,0.34,7.2
24.6,0.69,7.8,0.44,6.9
23.1,0.51,7.8,0.32,7.6
23.6,0.57,7.9,0.36,7
19.7,0.72,7.4,0.46,6.6
17.9,0.78,7.5,0.5,6.9
20.9,0.72,7.2,0.46,6.7
21.8,0.6,7.1,0.38,7.8
21.2,0.54,7.2,0.34,7.8
19.9,0.85,7,0.54,7.8
18.8,0.55,7.5,0.35,7.2
20,0.95,7.1,0.61,7.2
18.3,0.58,7.4,0.37,7.9
24.2,0.63,7.8,0.4,6.9
24.7,0.77,7.8,0.49,7
24.4,0.54,7.7,0.34,7.8
17.4,1.06,7.6,0.68,8
19.4,0.93,7.6,0.6,6.5
18,1.37,7.6,0.88,7.7
16.7,0.51,7.5,0.32,7.6
15.7,0.73,7.6,0.46,7.8
16.5,0.53,7.6,0.34,6.5
16.4,0.68,7.3,0.44,7.5
17.4,1.05,7.5,0.67,7.7
16.4,0.66,7.8,0.42,6.9
21,0.58,7.8,0.37,7.4
17.2,0.69,7.8,0.44,6.9
21.5,0.65,7.7,0.42,7.1
24,0.57,7.8,0.37,7.5
19.7,0.96,7.9,0.61,7
21.1,0.88,7.8,0.56,7.4
20.2,0.94,7.9,0.6,7.1
21,0.96,8,0.62,7.7
19.5,0.99,7.6,0.63,7.2
18.6,1.12,7.8,0.72,7.2
17.8,0.63,7.4,0.4,7.2
18.3,0.62,7.7,0.4,7.7
17.3,1.14,7.5,0.73,7.4
17.5,0.76,7.7,0.49,7.7
19.2,0.79,7.7,0.5,7.2
16.3,0.56,7.9,0.36,7.7
15.3,0.61,7.7,0.39,8
21.3,0.6,7.6,0.38,6.8
20.9,0.62,7.7,0.4,7.5
17.4,0.54,8,0.34,7.8
16.8,0.59,7.9,0.38,7.4
16.7,0.75,7.6,0.48,7.9
15.9,0.86,7.6,0.55,6.6
20.1,0.98,7.8,0.63,7.1
23.1,0.62,7.9,0.4,7.7
24.9,0.64,7.9,0.41,6.8
17.1,0.92,7.3,0.59,7.1
17.7,0.57,7.6,0.36,6.8
17.4,0.54,7.2,0.35,7.3
17,0.62,7,0.4,7.8
16.7,0.85,7.1,0.54,7.4
16.9,0.8,7.4,0.51,7.9
17.6,0.95,7.3,0.61,8
17.8,0.53,7.1,0.34,6.8
17.7,0.63,7,0.41,6.8
20.7,0.64,7.7,0.41,7
20.4,0.76,7.1,0.49,7.8
22.4,0.59,7.3,0.38,7.3
19.4,0.74,7.7,0.47,6.8
19.9,0.5,7.7,0.32,8
23,0.66,7.8,0.42,7.2
20.3,0.75,7.8,0.48,7.6
22.1,0.56,7.9,0.36,7.3
21.5,0.72,7.9,0.46,7.9
24.7,0.55,8,0.35,6.6
24.1,0.63,7.4,0.4,6.6
22.2,0.95,7.7,0.61,6.6
24.7,0.55,8,0.35,6.7
24.6,0.84,7.3,0.54,7.1
23.9,0.7,7.2,0.45,6.8
24,0.63,7.2,0.4,7
24.7,0.56,7.6,0.36,7.7
22.9,0.54,7.9,0.34,7
24.6,0.52,7.5,0.33,6.8
23.6,0.93,7.6,0.59,7.1
23.7,0.93,7.7,0.59,6.6
22.4,0.76,7.8,0.49,6.9
23.8,0.51,7.4,0.33,6.7
23.8,0.52,7.7,0.33,8
23.8,0.74,7.4,0.47,7.3
23.5,0.59,8,0.38,7.8
21.9,0.52,8,0.33,7.9
23.1,1.19,7.2,0.76,6.7
22.5,1.12,7.3,0.72,7
22.7,0.53,7.3,0.34,7.8
18.9,0.67,7.6,0.43,7.4
22.3,0.94,7.4,0.6,7.9
24.5,0.71,7.4,0.45,7.7
22.5,0.51,7.8,0.33,6.6
23.7,0.57,7.7,0.36,6.7
22.9,0.86,8,0.55,6.6
23.4,0.73,8,0.46,7.8
15.8,0.55,7.7,0.35,7.4
17.9,0.9,7.1,0.58,8
17,1.1,7.2,0.7,7.8
18.2,0.68,7,0.43,8
17.9,0.67,7,0.43,7.6
17.9,0.66,7.2,0.42,6.5
15.2,0.92,7.4,0.59,7.5
20.2,0.52,7.5,0.33,7.2
19.7,0.89,7.4,0.57,7.5
20.1,0.89,7.4,0.57,8
22.3,0.64,7.8,0.41,8
22.9,0.78,7.7,0.5,6.5
18.7,1.06,7.7,0.68,7.2
22.2,1.31,7.9,0.84,6.5
22.3,0.68,8,0.44,7.8
21.8,0.8,8,0.51,6.7
22.6,0.73,8,0.47,7.7
23.4,1.08,7.6,0.69,7.4
18.3,0.6,7.4,0.39,7.5
18.9,0.83,7.6,0.53,7.6
22,0.8,7.8,0.51,8
19.2,0.96,7.5,0.61,7.3
18.9,0.52,7.2,0.33,6.6
20.6,0.69,7.4,0.44,7.6
14.7,0.51,7.8,0.33,7.8
24.8,0.53,7.7,0.34,8
24.2,0.83,7.2,0.53,7.6
23.8,0.72,7.8,0.46,7.3
19.4,0.58,8,0.37,6.8
14.7,0.73,7.2,0.47,6.5
16.1,0.96,7.4,0.61,6.9
15.1,0.85,7.3,0.54,7.7
14.3,0.58,7.3,0.37,7.8
14.6,0.56,7.4,0.36,8
15.7,0.86,7.9,0.55,7.7
15.5,0.52,7.1,0.33,7
17.1,1.04,7.7,0.67,7.3
14.1,0.68,7.1,0.43,8
14.2,0.54,8,0.35,7.3
17,1.07,7.2,0.68,6.5
15.5,0.64,7.6,0.41,7.8
16.2,0.7,7.8,0.45,7.6
22.5,0.83,7.8,0.53,6.5
20.4,0.84,7.8,0.53,7.6
17.9,0.9,7.8,0.58,7.3
19.1,1.06,7.8,0.68,7.3
20.1,0.61,8,0.39,7.8
21,0.65,7.8,0.42,7.5
23.6,0.64,7.8,0.41,6.6
22.3,0.91,7.9,0.58,7.4
14.7,0.65,7.6,0.42,6.6
