Temperature,EC,PH,DO,Score
11.2,358,8.4,11.3,-10.5
11.3,548,8.5,11.8,14.62
11.3,250,7.6,10.8,14.62
11.3,270,8.2,8.9,-7.76
11.4,221,7.1,10.2,16.01
11.4,235,7.25,10.8,14.57
11.4,417,8.46,13.2,-13.78
11.5,437,7.2,7.6,46.18
11.5,225,7.2,9.7,17.3
11.5,296,7.7,10,16.91
11.5,372,7.6,10.9,15.02
11.5,237,8.2,9.2,-7.46
11.5,252,8.38,9.2,-7.48
11.5,432,8.28,10.8,-8.98
11.5,284,8.16,10.9,-9.5
11.6,519,7.2,8.9,46.26
11.6,462,7.1,7.5,46.23
11.6,394,7.4,7.7,46.09
11.6,524,7.4,10,44.05
11.6,519,7.8,11,40.48
11.6,310,7.46,9.4,18.39
11.6,228,8,9.3,18.26
11.6,270,7,9.6,17.77
11.6,294,7.61,9.8,17.41
11.6,369,7.5,10.4,16.29
11.6,204,7.3,10.1,16.22
11.6,265,8.2,9.1,-7.53
11.6,274,8.13,8.9,-7.97
11.6,239,8.1,8.8,-8.12
11.7,321,7.54,9.8,17.56
11.7,379,7.4,10.4,16.37
11.7,411,7.3,10.5,16.27
11.7,212,7.02,10.4,15.52
11.7,227,8.28,9,-7.5
11.7,252,8.3,8.9,-7.61
11.8,544,7.9,11.1,40.18
11.8,507,8.1,10.4,18.94
11.8,532,8.29,10.4,18.6
11.8,457,8,10.2,17.27
11.8,453,7.9,10.9,15.49
11.8,201,7.1,10.4,15.48
11.8,263,8.3,9.1,-7.48
11.8,276,8.3,10.2,-8.47
11.8,370,8.2,10.7,-8.84
11.8,2230,7.52,10.8,-10.51
11.8,7830,7.62,9.7,-10.73
11.8,19600,6.7,0.7,-31.6
11.9,204,7.9,8.9,18.97
11.9,361,7.3,9.9,17.55
11.9,639,8.2,9,17.26
11.9,348,8,10.5,16
11.9,231,6.8,6.3,-7.92
11.9,218,8.1,10.8,-9.38
11.9,427,8.5,11.4,-10.51
12,279,8,7.9,72.09
12,280,7.26,8.4,46.18
12,311,7.6,9.8,43.56
12,286,7.48,10.9,39.43
12,59,7.4,10.6,38.9
12,277,8.32,9,19.27
12,222,8.1,9,19.09
12,444,8.2,10.8,17.73
12,252,8.2,10.6,17.29
12,122,8.2,12,13.18
12,2290,7.3,5.9,7.22
12,18800,7.9,8.4,6.95
12.1,538,7.3,5.8,73.06
12.1,207,7.4,7.2,71.44
12.1,177,8,8.9,45.5
12.1,364,7.2,9.9,43.58
12.1,164,7.35,10.4,40.34
12.1,210,7.3,10.8,39.25
12.1,316,7.75,11.2,38.6
12.1,224,8.3,9,19.35
12.1,300,8.2,8.9,18.68
12.1,1550,7.3,5.2,8.55
12.2,251,7,7.9,71.85
12.2,223,7.4,8,71.59
12.2,288,7.8,8.8,46.12
12.2,440,7.5,10.1,43.41
12.2,349,7.9,10.2,42.41
12.2,597,8.1,11.7,41.32
12.2,208,7.23,10.5,40.3
12.2,244,7.46,10.8,39.49
12.2,487,6.9,8.5,18.81
12.2,201,6.87,9,18.77
12.2,415,8.1,10.4,18.67
12.2,473,8.4,10.4,18.31
12.2,437,8.3,10.5,18.15
12.2,1900,7.49,8.4,7.43
12.3,521,7.3,4.7,72.69
12.3,575,7.3,8.6,71.84
12.3,254,8,8.8,46.02
12.3,293,7.4,9.5,44.44
12.3,240,8,10.6,40.17
12.3,329,7.1,10.8,40.09
12.3,234,7.8,10.7,39.77
12.3,95,7.1,10.8,38.46
12.3,170,8.3,9,19.4
12.3,229,8.1,9.5,19.37
12.3,344,8.27,10.7,17.32
12.3,41400,8.1,3.4,-10.76
12.4,525,7.76,9.2,72.89
12.4,292,7.7,7,72.2
12.4,683,7.42,11.1,62.5
12.4,358,7.8,8.7,46.27
12.4,503,8.2,9.8,46.27
12.4,469,7.3,5.4,46.11
12.4,281,7.39,8.8,46.1
12.4,349,7.1,5.8,45.81
12.4,247,7.39,10.7,39.86
12.4,263,7.46,10.8,39.62
12.4,257,8.5,9,19.41
12.4,290,8.2,9.7,19.21
12.4,300,8.12,9,18.74
12.4,254,8.28,8.4,17
12.4,120,6.8,10.6,14.55
12.4,295,8.3,8.2,14.53
12.4,110,6.8,10.6,14.5
12.4,4200,7.4,10,7.03
12.4,4700,7.1,9.1,7.01
12.5,620,7.3,8.9,73.07
12.5,403,7.9,8.3,45.16
12.5,304,7.8,9.8,43.51
12.5,308,7,10,42.83
12.5,144,7.7,10.5,39.84
12.5,103,7,10.5,39.55
12.5,164,7.6,10.7,39.28
12.5,211,7.8,11,38.57
12.5,223,8.1,9.5,19.36
12.5,235,8.3,8.8,19.04
12.5,242,8.2,8.9,19
12.5,276,8.24,8.8,18.64
12.5,6970,7.8,2.5,6.98
12.6,278,7.46,7.8,72.08
12.6,273,7.7,6.6,72.04
12.6,647,7.6,11.5,60.3
12.6,225,8,9.6,43.66
12.6,269,7.03,10.2,41.83
12.6,161,7.1,10.2,41.04
12.6,289,7.51,11.2,38.42
12.6,195,8.1,9.4,19.38
12.6,427,8.4,9.2,19.24
12.6,440,8.1,10.3,18.93
12.6,395,8.1,10.5,18.4
12.6,345,8.2,10.5,17.96
12.6,422,8.1,8.5,12.41
12.7,475,7.1,6.9,73.12
12.7,735,7.8,5.1,72.86
12.7,664,7.3,9.4,72.26
12.7,665,7.4,9.6,71.37
12.7,429,7.1,4.9,45.85
12.7,413,7.2,9.7,44.57
12.7,332,7.1,9.6,44.37
12.7,925,2.9,9.7,43.18
12.7,178,7.4,9.7,42.97
12.7,319,7.1,10.4,41.46
12.7,260,7.5,10.6,40.31
12.7,100,7.6,10.7,38.84
12.7,491,6.7,5.6,19.33
12.7,229,8.1,8.8,18.47
12.7,443,8.3,10.4,18.39
12.7,452,8.3,10.7,17.77
12.7,491,6.5,8.1,17.13
12.7,112,6.9,10.6,14.54
12.7,3690,7.3,8.8,7.05
12.7,11700,8,8.9,6.96
12.8,706,7.6,9,73.14
12.8,764,7,6,73.1
12.8,585,7.6,6,73.1
12.8,815,8,4.9,72.78
12.8,533,8.2,9.9,46.24
12.8,313,7.25,9.8,43.57
12.8,248,8,9.9,42.76
12.8,345,7.53,10.4,41.65
12.8,388,7.7,11,39.8
12.8,138,7.25,10.5,39.8
12.8,164,8,10.6,39.63
12.8,112,7.4,10.6,39.27
12.8,412,8.3,9.9,19.14
12.8,259,8.2,10.5,17.56
12.8,465,8.2,8.3,8.99
12.9,566,7.1,7.2,100
12.9,1090,7.6,2.2,71.05
12.9,284,7.6,8.9,45.96
12.9,347,7.8,9.1,45.82
12.9,312,6.6,6.7,45.76
12.9,538,8.48,10.2,45.15
12.9,373,8,9.8,43.98
12.9,624,8.4,10.7,43.83
12.9,646,3.1,9.9,42.57
12.9,224,7.8,10,42.23
12.9,327,7.45,10.8,40.08
12.9,230,7.4,10.9,39.04
12.9,115,7.48,10.9,38.26
12.9,264,8.3,8.9,19.12
12.9,255,8.2,8.9,18.94
12.9,251,8.2,8.8,18.67
12.9,264,8.2,8.8,18.58
12.9,410,8.2,10.4,18.46
12.9,336,8.28,10.6,17.5
12.9,355,8.34,10.7,17.21
12.9,128,6.9,10.4,15.12
12.9,30900,8.3,6.6,6.95
13,789,7.2,6.5,100
13,586,8,8.6,71.84
13,643,7.8,8.5,71.03
13,584,7.7,10,69.14
13,746,7.5,11.8,58.76
13,591,7.8,15,47.08
13,277,7.5,8.9,45.93
13,211,7.7,8.8,45.87
13,238,7.1,8.1,45.7
13,425,8,9.8,44.33
13,238,7.4,9.5,44.08
13,293,7.6,9.7,43.78
13,270,7.38,9.8,43.27
13,349,7.9,10,43.12
13,160,7.2,10,41.76
13,339,8,10.8,40.16
13,114,7.1,11,37.92
13,504,8.1,8.6,35
13,240,8.3,9.2,19.41
13,320,8.3,9.8,19.03
13,389,8.36,10.2,18.46
13,476,8.2,9.1,18.06
13,289,8.1,10.9,16.98
13,235,8.7,10.9,15.19
13,2720,7.5,12.2,7.13
13.1,686,7.4,9.3,72.62
13.1,329,7.4,7.9,72.48
13.1,310,7.8,6.8,72.34
13.1,280,7.6,6.7,72.1
13.1,844,7.7,8.6,71.84
13.1,450,7.6,9.1,46.15
13.1,296,7.3,5.6,45.5
13.1,165,7.6,9.5,43.59
13.1,163,7.4,9.5,43.57
13.1,224,7.6,9.8,42.95
13.1,338,7.5,10.2,42.33
13.1,323,8,10.7,40.41
13.1,90,7.2,11.2,37.11
13.1,243,8.3,8.8,19
13.1,395,8.3,11.1,16.51
13.1,3080,7.6,9.8,7.09
13.1,14800,8.2,8.9,-10.75
13.2,876,7.9,7.1,100
13.2,596,7.6,9.2,72.89
13.2,809,7.6,5.1,72.86
13.2,513,8.5,9.4,46.24
13.2,325,7.6,8.5,46.19
13.2,415,7.22,9.8,44.26
13.2,554,8.3,10.7,44.16
13.2,525,8.4,10.8,43.48
13.2,244,7.42,9.7,43.44
13.2,386,7.7,10.2,42.67
13.2,362,7.5,10.3,42.14
13.2,410,7.8,10.5,41.76
13.2,152,7.1,10.1,41.34
13.2,140,7.1,10.1,41.25
13.2,108,7.31,10.2,40.66
13.2,41,7.7,10.6,38.78
13.2,5840,7.6,7.2,19.47
13.2,483,8.4,10.3,18.55
13.2,244,8.04,8.8,18.08
13.2,412,8.5,10.5,17.58
13.2,368,8.3,10.8,17.12
13.2,209,8.29,10.5,17.1
13.2,397,8.2,11,17.02
13.2,398,3.3,10.1,15.95
13.2,264,8.12,8.3,14.31
13.2,132,8.6,12.2,11.87
13.3,531,7.7,7.6,100
13.3,674,7.5,3.8,72.2
13.3,800,7.2,8.3,68.67
13.3,960,7.2,10.1,68.53
13.3,615,8,10.2,67.92
13.3,524,7.8,10.4,66.69
13.3,317,7.4,8.6,46.27
13.3,339,7.4,8.6,46.25
13.3,467,7.2,6.4,46.25
13.3,401,7.8,9.2,45.83
13.3,290,7.8,9.5,44.42
13.3,400,7.9,10.1,43.13
13.3,205,7.9,10.2,41.36
13.3,99,7.3,10,41.32
13.3,131,7.8,10.6,39.4
13.3,131,7.4,10.7,39.05
13.3,26500,7.9,6.6,19.42
13.3,277,8.2,9.4,19.4
13.3,266,8.1,9.2,19.27
13.3,280,8.3,8.7,18.46
13.3,367,8.3,10.4,18.06
13.3,427,8.3,10.6,17.88
13.4,800,7.7,9,73.14
13.4,832,7.1,5.4,72.96
13.4,680,7.2,5.3,72.93
13.4,638,7,8.2,67.1
13.4,409,7.3,8.8,46.27
13.4,418,7.6,8.8,46.27
13.4,361,7.8,8.9,46.17
13.4,426,7.2,9.2,45.93
13.4,496,7.5,9.4,45.81
13.4,221,7.8,8.9,45.71
13.4,153,7.4,8.8,45.63
13.4,316,7.8,9.3,45.18
13.4,298,7.6,9.3,45.08
13.4,414,7.8,9.8,44.26
13.4,160,7.4,9.3,44.23
13.4,240,7.5,9.5,44.1
13.4,380,7.8,9.8,44.03
13.4,527,8.4,11.3,41.69
13.4,165,7.3,10.2,41.07
13.4,102,7.1,10.1,40.98
13.4,302,8,10.5,40.98
13.4,301,7.9,10.6,40.61
13.4,139,7.8,10.3,40.52
13.4,239,8,10.6,40.16
13.4,170,7.8,10.5,40.03
13.4,211,8,10.6,39.96
13.4,93,7,10.4,39.84
13.4,142,7.96,10.8,38.78
13.4,1680,7.3,6.7,20.42
13.4,407,8.1,9.8,19.39
13.4,384,8.1,9.9,19.3
13.4,248,8.26,8.9,19.11
13.4,388,8.2,10.1,18.93
13.4,393,8.2,10.4,18.39
13.4,228,8.1,10.2,18.33
13.4,361,8.6,10.5,17.09
13.4,268,8.01,8.7,17.02
13.4,291,8.22,10.8,16.94
13.4,270,8.6,10.8,15.88
13.4,492,8.3,11.7,15.48
13.4,474,8.08,8.7,13.53
13.4,259,8.8,11.8,12.89
13.4,420,8.3,13.1,11.82
13.4,13600,8.3,3.3,-10.75
13.5,689,7.2,9,73.14
13.5,938,7.6,5.9,73.08
13.5,904,7.4,2.9,71.59
13.5,267,7.4,8.6,46.26
13.5,438,7.5,9.1,46.12
13.5,607,8.4,9.9,46.01
13.5,379,7.8,9.1,45.94
13.5,226,7.6,8.8,45.93
13.5,419,7.5,8.5,45.82
13.5,345,7.2,5.4,45.66
13.5,399,7.09,9.6,44.79
13.5,373,8,9.8,43.98
13.5,523,8.3,11.2,42.41
13.5,285,7.5,10.2,41.94
13.5,263,7.86,10.3,41.42
13.5,263,7.35,10.4,41.06
13.5,305,8,10.5,41
13.5,1320,8.4,11.5,40.96
13.5,808,8.1,8.9,40.6
13.5,120,7.28,10.4,40.03
13.5,260,7.35,10.7,39.96
13.5,202,7.8,10.9,38.85
13.5,22100,7.8,7.1,19.42
13.5,498,8.3,9.9,19.32
13.5,473,9,5.4,19.31
13.5,357,8.1,9.4,19.29
13.5,253,8.3,8.9,19.16
13.5,398,8.1,10.2,18.96
13.5,417,8.2,10.6,18.06
13.5,255,8.25,8.6,18.02
13.5,379,8.2,10.7,17.66
13.5,398,8.3,10.8,17.27
13.5,421,8.1,11.1,17.14
13.5,295,8.27,10.7,17.08
13.5,123,6.6,10.6,14.49
13.5,3030,7.7,0.2,7.09
13.5,6620,8.28,9.3,-10.72
13.6,816,7.8,6.9,100
13.6,592,7.7,7.2,100
13.6,1360,8,7.6,100
13.6,433,7.5,7.6,73.02
13.6,213,7.1,6.9,71.49
13.6,612,7.3,8.5,71.03
13.6,603,7.8,9.9,69.73
13.6,501,7.7,10,69.14
13.6,577,8,8.1,65.24
13.6,370,7.4,8.7,46.27
13.6,420,7.6,8.9,46.26
13.6,666,8.3,9.8,46.24
13.6,199,8,8.8,45.83
13.6,298,7.6,9.5,44.48
13.6,172,7.57,9.3,44.31
13.6,286,7.54,9.8,43.38
13.6,185,8,9.7,43.02
13.6,258,7.9,9.9,42.83
13.6,301,8,10.4,41.33
13.6,143,7.4,10.1,41.27
13.6,128,7.6,10.1,41.16
13.6,315,7.9,10.5,41.07
13.6,123,7.6,10.5,39.69
13.6,176,7.8,11.6,36.39
13.6,615,8.5,13.2,35.04
13.6,18500,7.2,7.5,19.42
13.6,420,8.2,9.6,19.4
13.6,308,8.1,10,18.99
13.6,251,8.4,9.7,18.8
13.6,359,8.3,10.1,18.65
13.6,198,8.04,8.7,18.04
13.6,308,8.3,10.8,16.83
13.6,362,3.2,9.7,16.74
13.6,290,8.3,8.4,16.61
13.6,351,8.6,10.9,16.03
13.6,432,8.2,8.7,15.87
13.6,266,8.7,10.8,15.6
13.6,3260,7.2,6.4,7.07
13.6,24100,7.6,9.7,6.95
13.7,555,7.8,7.6,100
13.7,699,7.7,6.4,73.13
13.7,514,7.2,4.8,72.73
13.7,953,7.4,3.9,72.26
13.7,845,7.7,3.5,72.01
13.7,516,7.3,9.6,71.37
13.7,738,7.5,8.4,69.98
13.7,913,7.8,10.2,67.92
13.7,850,7.7,13.7,50.94
13.7,229,7.6,8.4,46.26
13.7,153,7.3,8.4,46.24
13.7,349,7.4,8.5,46.13
13.7,306,7.8,8.4,46.1
13.7,351,7.5,9,46.01
13.7,350,7.7,9.1,45.83
13.7,397,7.1,8.4,45.63
13.7,240,6.84,7.8,45.51
13.7,291,7.9,9.2,45.32
13.7,261,7.4,9.2,45.15
13.7,562,8.3,11,43.13
13.7,266,7.8,10,42.53
13.7,266,7.7,10.1,42.17
13.7,156,8,9.9,42.09
13.7,273,7.5,10.2,41.86
13.7,299,7.8,10.3,41.68
13.7,428,7.8,10.8,40.8
13.7,114,7.2,10.2,40.7
13.7,108,7.1,10.3,40.3
13.7,126,7.67,10.5,39.72
13.7,299,7.79,10.9,39.53
13.7,88,7.1,10.5,39.45
13.7,265,8.2,9.3,19.41
13.7,474,8.3,10,19.17
13.7,354,8.2,10,18.98
13.7,394,6.9,9.3,18.92
13.7,290,8.14,10,18.87
13.7,466,8.4,10.1,18.86
13.7,407,8.4,11.1,16.32
13.7,154,4.4,10,15.36
13.7,335,8.5,11.3,15.19
13.7,94,6.8,10.5,14.67
13.7,395,8.4,11.9,14.25
13.7,298,8.7,12,12.84
13.7,3800,7.6,8.6,7.04
13.7,8440,7.7,10.4,6.97
13.7,13300,8,8.4,6.96
13.7,11600,7.8,1.3,6.96
13.8,608,7.8,7.9,100
13.8,1120,7.3,6.8,100
13.8,1260,7.5,9,73.14
13.8,305,7.53,7.9,72.3
13.8,163,7.3,7.9,70.99
13.8,906,7.6,2,70.89
13.8,120,7.1,7.1,70.52
13.8,743,7.6,10.3,67.3
13.8,423,7.2,8.8,46.26
13.8,600,8.3,9.8,46.24
13.8,281,7.2,8.8,46.1
13.8,430,7.77,8.6,46.01
13.8,199,8,8.8,45.83
13.8,293,7.4,8.1,45.25
13.8,818,2.8,5.5,44.94
13.8,255,7.8,9.3,44.83
13.8,158,7.58,9.4,43.88
13.8,294,7.7,9.7,43.79
13.8,288,7.4,9.8,43.4
13.8,702,2.9,9.9,42.47
13.8,149,7.1,9.8,42.41
13.8,445,7.2,10.5,42.01
13.8,143,7.3,10.2,40.91
13.8,183,7.4,10.3,40.84
13.8,104,7.3,10.2,40.63
13.8,169,7.5,10.6,39.67
13.8,101,7.5,10.6,39.19
13.8,96,7.6,10.7,38.81
13.8,125,7,10.9,38.33
13.8,165,7.3,11.1,37.93
13.8,117,7.8,11.2,37.28
13.8,13200,7.3,7.6,19.43
13.8,311,8.2,9.4,19.41
13.8,439,6.6,6.1,19.29
13.8,368,8.8,9.3,19.16
13.8,339,8.1,10.1,18.93
13.8,426,8.2,10.2,18.89
13.8,220,8.2,9.9,18.69
13.8,475,8.3,10.6,18.1
13.8,472,8.3,10.8,17.63
13.8,364,8.2,10.7,17.59
13.8,274,8.09,10.7,17.42
13.8,172,8.1,10.6,17.14
13.8,163,4.8,10.3,14.8
13.9,510,7.7,7.8,100
13.9,913,7.1,8,100
13.9,557,7.4,7.7,100
13.9,610,7.6,8.8,72.84
13.9,296,7.2,6.9,72.23
13.9,719,7.6,8.6,71.84
13.9,164,7.1,7.6,71
13.9,614,7.6,8.4,69.98
13.9,678,7.6,8.2,67.1
13.9,460,7.9,8.8,46.22
13.9,313,7.4,8.9,46.05
13.9,361,7.6,5.4,45.73
13.9,244,7.5,8.1,45.66
13.9,145,7.4,9,45.06
13.9,470,7.6,8.4,44.98
13.9,170,7.31,9.2,44.61
13.9,158,7.5,9.4,43.88
13.9,677,8.4,10.7,43.83
13.9,157,7.1,9.6,43.18
13.9,610,8.2,9,43.01
13.9,389,7.7,10.2,42.69
13.9,304,7.69,10.1,42.44
13.9,282,8,10.2,41.92
13.9,330,7.32,10.3,41.91
13.9,142,7.22,10,41.63
13.9,363,7.4,10.5,41.42
13.9,225,7.7,10.4,40.78
13.9,107,7.9,12.8,32.67
13.9,19300,7.6,6.7,19.42
13.9,400,8.2,9.4,19.31
13.9,374,8.3,9.7,19.28
13.9,316,8.36,9.8,18.92
13.9,263,8.2,9.9,18.85
13.9,448,8.4,10.4,18.2
13.9,226,8.1,10.3,18.1
13.9,461,8.3,10.6,18.04
13.9,259,8.4,10.9,16.07
13.9,102,6.6,10.2,15.39
13.9,205,9,10.6,15.04
13.9,161,4.8,10.3,14.79
13.9,179,8.1,11.8,14.17
13.9,443,8.4,12.2,13.75
14,607,6.5,6.8,73.1
14,580,7.7,9.1,73.07
14,421,7.2,7.1,72.98
14,806,7.5,9.3,72.62
14,690,7.51,8.6,71.84
14,1080,7.8,2.7,71.44
14,171,7.2,7.9,71.07
14,166,7.1,7.5,71.02
14,570,7.8,9.9,69.73
14,566,7.8,10,69.14
14,238,7.2,8.6,46.22
14,543,8.2,10,46.15
14,393,7.7,8.5,45.95
14,311,7.4,8.3,45.86
14,526,8.3,10.1,45.83
14,477,7.6,9.4,45.73
14,162,7.9,8.9,45.43
14,408,8,9.4,45.41
14,149,7.4,8.9,45.36
14,353,7.19,9.4,45.11
14,430,3,7.4,45.06
14,280,7.2,3.9,44.68
14,250,7.9,9.5,44.16
14,547,3,9.6,43.58
14,200,7.1,9.8,42.77
14,572,8.5,11,42.41
14,175,7.54,9.9,42.23
14,110,7,10.1,41.03
14,124,7.5,10.2,40.77
14,168,7.7,10.3,40.73
14,110,7.4,10.2,40.67
14,138,7.1,10.3,40.51
14,131,7.4,10.6,39.4
14,185,7.1,10.9,38.73
14,311,7.9,11.2,38.57
14,130,7.5,10.9,38.36
14,322,8.1,9.5,19.4
14,378,8.1,9.6,19.4
14,412,8.27,9.3,19.24
14,238,8.2,9.7,19.08
14,428,8.2,10.1,19.05
14,259,8.42,8.7,18.97
14,434,8.3,10.1,18.92
14,172,8.3,9.6,18.88
14,458,8.42,10.1,18.79
14,444,8.4,10.1,18.78
14,241,8.2,8.7,18.38
14,474,8.5,10.3,18.31
14,259,8.3,10.2,18.03
14,251,8.2,8.6,17.8
14,225,8.1,8.6,17.52
14,115,8.3,10.4,16.86
14,452,8.5,10.9,16.8
14,216,8.15,8.4,16.59
14,426,8.5,11,16.41
14,128,8.5,11.2,14.41
14.1,679,7.1,8,100
14.1,581,7.5,7.9,100
14.1,1040,7.8,6.6,100
14.1,920,7.8,6.2,73.12
14.1,520,8.9,7.2,73.07
14.1,840,7.8,8.7,72.44
14.1,293,7.3,7,72.21
14.1,596,7.1,3.8,72.2
14.1,225,7.5,7.6,71.61
14.1,107,7.1,7.2,70.38
14.1,888,7.4,1.1,70.13
14.1,597,7.9,8.3,68.67
14.1,572,7.8,8.1,65.24
14.1,589,8.1,9.9,46.27
14.1,172,7.7,8.5,46.2
14.1,176,7.14,8.5,46.2
14.1,331,7.42,8.9,46.1
14.1,177,7.16,8.6,46.09
14.1,215,7.6,8.2,46.07
14.1,208,7.8,8.8,45.86
14.1,600,8.1,9.5,45.61
14.1,431,7.3,8.4,45.36
14.1,398,8,9.4,45.35
14.1,152,7.3,9,45.1
14.1,199,7.8,9.2,44.79
14.1,877,2.9,9.6,43.53
14.1,448,8,10.1,43.47
14.1,188,7.53,9.9,42.33
14.1,174,7.5,10,41.86
14.1,122,7.5,9.9,41.85
14.1,253,7.8,10.2,41.71
14.1,129,7.4,10,41.54
14.1,125,7.3,10,41.51
14.1,144,7,10.1,41.28
14.1,141,7.58,10.3,40.54
14.1,141,7.3,10.3,40.54
14.1,124,7.7,10.4,40.06
14.1,139,7.9,10.5,39.81
14.1,325,8,10.9,39.71
14.1,119,7.5,10.5,39.67
14.1,104,7.5,10.5,39.56
14.1,139,7.2,10.6,39.46
14.1,4680,7.8,6.8,19.49
14.1,481,8.2,9.5,19.23
14.1,180,8.22,8.8,19.1
14.1,256,8.3,9.8,18.82
14.1,247,8.1,10,18.79
14.1,497,8.47,10.3,18.47
14.1,254,8.1,10.2,18.43
14.1,251,8.3,8.6,18.29
14.1,208,8.1,8.7,18.23
14.1,434,8.4,10.4,18.14
14.1,485,8.6,10.3,18.14
14.1,230,8.1,10.3,18.12
14.1,317,8.3,10.3,18.06
14.1,380,8.4,8.7,18.02
14.1,387,8.1,10.7,17.93
14.1,320,8.1,10.7,17.62
14.1,268,8.04,8.7,17.23
14.2,1380,7.7,7.6,100
14.2,568,7.8,6.6,100
14.2,541,8,7.3,100
14.2,792,7.6,9.1,73.07
14.2,548,7.2,4.3,72.49
14.2,1070,7.7,9.5,71.84
14.2,567,7.8,8.6,71.84
14.2,1090,7.7,3.2,71.81
14.2,204,8,7.9,71.41
14.2,157,7.1,7.6,70.92
14.2,512,7.7,9.7,70.85
14.2,145,7.2,7.6,70.8
14.2,743,7.46,8.1,65.24
14.2,831,7.8,14.6,48.17
14.2,195,7.5,8.3,46.24
14.2,892,8.8,5.9,46.23
14.2,171,7.1,8.5,46.19
14.2,191,8,8.6,46.13
14.2,159,7,8.1,46.09
14.2,278,7.6,8.8,46.09
14.2,536,8.3,10,46.01
14.2,979,8.22,10.1,45.98
14.2,353,8,8.4,45.9
14.2,874,8.4,4.7,45.86
14.2,362,7.8,8.4,45.86
14.2,160,7.2,8.8,45.66
14.2,154,7,8.8,45.63
14.2,489,7.9,9.5,45.56
14.2,174,7.4,8.9,45.49
14.2,246,7.3,5.8,45.32
14.2,454,7.27,9.6,45.12
14.2,226,7.8,9.2,44.95
14.2,625,8.51,10.5,44.13
14.2,244,7.4,9.6,43.79
14.2,221,7.5,9.7,43.28
14.2,450,8,10.2,43.13
14.2,447,7.7,8.1,43.07
14.2,224,7.4,9.8,42.95
14.2,135,7.1,9.9,41.94
14.2,267,8,10.2,41.81
14.2,131,7.5,10,41.55
14.2,383,7.9,10.6,41.2
14.2,142,7.4,10.3,40.54
14.2,106,7.6,10.3,40.29
14.2,154,8,10.4,40.27
14.2,274,7.96,10.7,40.06
14.2,99,7.1,10.5,39.53
14.2,333,7.7,11,39.41
14.2,115,7.4,10.6,39.29
14.2,108,7.36,10.6,39.24
14.2,115,7.3,10.7,38.94
14.2,104,7.5,10.7,38.87
14.2,126,7.8,10.8,38.67
14.2,455,7.9,12,36.89
14.2,400,8.1,9.7,19.41
14.2,409,8.2,9.7,19.39
14.2,488,8.2,9.9,19.37
